epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.50649,1.48697,3.74089,1.37237,0.49435,0.07858,0.0857,0.06201,1.82654,3.43465,1.37707,0.00330556,0.00330556,0.00330556
2,18.9554,1.58644,2.5866,1.33754,0.63105,0.15673,0.09185,0.05715,2.16997,3.14729,1.67971,0.00662574,0.00662574,0.00662574
3,28.9877,1.6496,2.30683,1.35296,0.41377,0.07724,0.02076,0.00993,2.83625,4.83546,3.22688,0.00993273,0.00993273,0.00993273
4,38.6834,1.69629,2.21722,1.38247,0.55301,0.17577,0.14532,0.09338,2.29934,3.02493,1.72482,0.0099406,0.0099406,0.0099406
5,48.6736,1.66342,2.08994,1.3535,0.55281,0.21032,0.15278,0.10069,2.14065,2.8263,1.62645,0.0099208,0.0099208,0.0099208
6,57.9722,1.60113,1.95079,1.3201,0.59156,0.09631,0.07945,0.046,2.25216,3.38603,1.74993,0.009901,0.009901,0.009901
7,68.0105,1.5697,1.86939,1.30825,0.63046,0.21137,0.20407,0.13856,1.84976,2.05386,1.41351,0.0098812,0.0098812,0.0098812
8,77.9017,1.52829,1.80189,1.29497,0.25163,0.23723,0.17567,0.1272,1.83751,2.44005,1.3797,0.0098614,0.0098614,0.0098614
9,87.0997,1.52745,1.76213,1.28165,0.30058,0.24995,0.20022,0.15139,1.83662,2.3262,1.40133,0.0098416,0.0098416,0.0098416
10,96.333,1.48731,1.70366,1.26702,0.24048,0.24516,0.18358,0.13196,1.8162,2.47125,1.38205,0.0098218,0.0098218,0.0098218
11,105.451,1.46458,1.66842,1.25551,0.308,0.24768,0.22911,0.16623,1.77353,1.9996,1.32486,0.009802,0.009802,0.009802
12,116.063,1.44972,1.62729,1.24019,0.34079,0.25823,0.23104,0.15857,1.80633,1.89981,1.33513,0.0097822,0.0097822,0.0097822
13,127.184,1.42651,1.59969,1.2362,0.3252,0.23383,0.19969,0.14538,1.77431,2.52737,1.34107,0.0097624,0.0097624,0.0097624
14,138.233,1.40526,1.5664,1.22432,0.26083,0.27555,0.18902,0.13276,1.75844,2.42086,1.34918,0.0097426,0.0097426,0.0097426
15,147.459,1.41475,1.56051,1.22949,0.27908,0.22592,0.18247,0.12643,1.80201,2.45795,1.36857,0.0097228,0.0097228,0.0097228
16,156.87,1.4002,1.52713,1.2197,0.55732,0.28115,0.22529,0.16737,1.74895,2.16998,1.32933,0.009703,0.009703,0.009703
17,166.168,1.38621,1.51487,1.21264,0.43804,0.30682,0.27143,0.1964,1.66242,1.70754,1.26445,0.0096832,0.0096832,0.0096832
18,175.416,1.37418,1.48519,1.20723,0.52947,0.26489,0.23192,0.17306,1.66575,1.89522,1.23364,0.0096634,0.0096634,0.0096634
19,184.6,1.38166,1.5076,1.21048,0.49359,0.29425,0.28173,0.19796,1.65975,1.68985,1.25924,0.0096436,0.0096436,0.0096436
20,194.134,1.38562,1.47323,1.20743,0.57397,0.32571,0.2881,0.20374,1.62787,1.61181,1.25159,0.0096238,0.0096238,0.0096238
21,204.809,1.35568,1.44864,1.19662,0.57428,0.30371,0.27558,0.19072,1.61311,1.59234,1.22892,0.009604,0.009604,0.009604
22,214.476,1.36218,1.43814,1.19978,0.58095,0.28508,0.26955,0.18739,1.62782,1.65549,1.2193,0.0095842,0.0095842,0.0095842
23,223.885,1.35329,1.4353,1.19566,0.58371,0.29952,0.25699,0.18743,1.62888,1.78938,1.24502,0.0095644,0.0095644,0.0095644
24,233.948,1.33864,1.40281,1.19365,0.57023,0.29158,0.25727,0.19113,1.63448,1.71555,1.2497,0.0095446,0.0095446,0.0095446
25,243.778,1.33456,1.40432,1.18682,0.49969,0.31032,0.29773,0.20714,1.57799,1.59218,1.20756,0.0095248,0.0095248,0.0095248
26,253.011,1.31743,1.37024,1.17852,0.73923,0.33165,0.39714,0.29032,1.55923,1.47506,1.20811,0.009505,0.009505,0.009505
27,262.272,1.3305,1.38015,1.18074,0.75602,0.32123,0.39521,0.25833,1.57115,1.50336,1.19376,0.0094852,0.0094852,0.0094852
28,271.469,1.31897,1.37304,1.17938,0.78773,0.32902,0.37158,0.25815,1.5482,1.55554,1.19867,0.0094654,0.0094654,0.0094654
29,281.272,1.32044,1.36574,1.18116,0.79337,0.32397,0.41864,0.27963,1.58841,1.50908,1.21039,0.0094456,0.0094456,0.0094456
30,290.489,1.31038,1.35175,1.17653,0.75585,0.31426,0.34531,0.23952,1.55937,1.52332,1.21056,0.0094258,0.0094258,0.0094258
31,300.176,1.29939,1.34451,1.1766,0.80601,0.31687,0.36965,0.24698,1.52275,1.44519,1.19522,0.009406,0.009406,0.009406
